"number","category","subcategory"
"INC0300317","Degraded Service",""
"INC0300316","Degraded Service",""
"INC0300315","Degraded Service",""
"INC0300314","Degraded Service",""
"INC0300313","Account Locked",""
"INC0300312","Degraded Service",""
"INC0300311","Access rights",""
"INC0300310","Access rights",""
"INC0300309","Degraded Service",""
"INC0300308","Degraded Service",""
"INC0300307","Degraded Service",""
"INC0300306","Degraded Service",""
"INC0300305","Degraded Service",""
"INC0300303","Degraded Service",""
"INC0300302","Assistance",""
"INC0300301","BitLocker",""
"INC0300300","Hardware",""
"INC0300299","Degraded Service",""
"INC0300298","Assistance",""
"INC0300297","Assistance",""
"INC0300296","Degraded Service",""
"INC0300295","Account Locked",""
"INC0300294","Access rights",""
"INC0300293","Degraded Service",""
"INC0300292","Degraded Service",""
"INC0300291","Assistance",""
"INC0300290","Assistance",""
"INC0300289","Degraded Service",""
"INC0300288","Degraded Service",""
"INC0300287","Access rights",""
"INC0300286","Degraded Service",""
"INC0300285","Degraded Service",""
"INC0300284","Degraded Service",""
"INC0300283","Degraded Service",""
"INC0300282","Degraded Service",""
"INC0300281","Degraded Service",""
"INC0300280","Hardware",""
"INC0300279","Degraded Service",""
"INC0300278","Hardware",""
"INC0300277","Degraded Service",""
"INC0300276","Assistance",""
"INC0300275","Degraded Service",""
"INC0300274","Degraded Service",""
"INC0300273","Degraded Service",""
"INC0300272","Degraded Service",""
"INC0300271","Degraded Service",""
"INC0300270","Assistance",""
"INC0300269","Degraded Service",""
"INC0300268","Degraded Service",""
"INC0300267","Degraded Service",""
"INC0300266","Degraded Service",""
"INC0300265","Data loss / corruption",""
"INC0300264","Assistance",""
"INC0300263","Data loss / corruption",""
"INC0300262","Assistance",""
"INC0300261","Degraded Service",""
"INC0300260","Assistance",""
"INC0300259","Hardware",""
"INC0300258","Degraded Service",""
"INC0300257","Degraded Service",""
"INC0300256","Degraded Service",""
"INC0300255","Degraded Service",""
"INC0300254","Degraded Service",""
"INC0300253","Degraded Service",""
"INC0300252","Hardware",""
"INC0300251","Degraded Service",""
"INC0300250","Degraded Service",""
"INC0300249","Degraded Service",""
"INC0300248","Account Locked",""
"INC0300247","Assistance",""
"INC0300246","Hardware",""
"INC0300245","Degraded Service",""
"INC0300244","Degraded Service",""
"INC0300243","Assistance",""
"INC0300242","Assistance",""
"INC0300241","Degraded Service",""
"INC0300240","Degraded Service",""
"INC0300239","Assistance",""
"INC0300238","Degraded Service",""
"INC0300237","Degraded Service",""
"INC0300236","Degraded Service",""
"INC0300235","Degraded Service",""
"INC0300234","Assistance",""
"INC0300233","Assistance",""
"INC0300232","Degraded Service",""
"INC0300231","Degraded Service",""
"INC0300230","Degraded Service",""
"INC0300229","Degraded Service",""
"INC0300228","BitLocker",""
"INC0300227","Assistance",""
"INC0300226","Degraded Service",""
"INC0300225","Degraded Service",""
"INC0300224","Degraded Service",""
"INC0300223","Degraded Service",""
"INC0300222","Degraded Service",""
"INC0300221","Degraded Service",""
"INC0300220","Degraded Service",""
"INC0300219","Degraded Service",""
"INC0300218","Degraded Service",""
"INC0300217","Degraded Service",""
"INC0300216","Degraded Service",""
"INC0300215","Degraded Service",""
"INC0300214","Degraded Service",""
"INC0300213","Degraded Service",""
"INC0300212","Degraded Service",""
"INC0300211","Degraded Service",""
"INC0300210","Degraded Service",""
"INC0300209","Degraded Service",""
"INC0300208","Degraded Service",""
"INC0300207","Degraded Service",""
"INC0300206","Degraded Service",""
"INC0300205","Assistance",""
"INC0300204","Degraded Service",""
"INC0300203","Degraded Service",""
"INC0300202","Degraded Service",""
"INC0300201","Degraded Service",""
"INC0300200","Degraded Service",""
"INC0300199","Degraded Service",""
"INC0300198","Degraded Service",""
"INC0300197","Degraded Service",""
"INC0300196","Degraded Service",""
"INC0300195","Degraded Service",""
"INC0300194","Degraded Service",""
"INC0300193","Degraded Service",""
"INC0300192","Degraded Service",""
"INC0300191","Degraded Service",""
"INC0300190","Assistance",""
"INC0300189","Degraded Service",""
"INC0300188","Degraded Service",""
"INC0300187","Degraded Service",""
"INC0300186","Degraded Service",""
"INC0300185","Degraded Service",""
"INC0300184","Degraded Service",""
"INC0300183","Degraded Service",""
"INC0300182","Hardware",""
"INC0300181","Degraded Service",""
"INC0300180","Degraded Service",""
"INC0300179","Degraded Service",""
"INC0300178","Degraded Service",""
"INC0300177","BitLocker",""
"INC0300176","Degraded Service",""
"INC0300175","Degraded Service",""
"INC0300174","Degraded Service",""
"INC0300173","Degraded Service",""
"INC0300172","Degraded Service",""
"INC0300171","Degraded Service",""
"INC0300170","Account Locked",""
"INC0300169","Degraded Service",""
"INC0300168","Degraded Service",""
"INC0300167","Degraded Service",""
"INC0300166","Hardware",""
"INC0300165","Degraded Service",""
"INC0300164","Degraded Service",""
"INC0300163","Degraded Service",""
"INC0300162","Degraded Service",""
"INC0300161","Hardware",""
"INC0300160","Degraded Service",""
"INC0300159","Degraded Service",""
"INC0300158","Degraded Service",""
"INC0300157","Degraded Service",""
"INC0300156","Degraded Service",""
"INC0300155","Degraded Service",""
"INC0300154","BitLocker",""
"INC0300153","Degraded Service",""
"INC0300152","Access rights",""
"INC0300151","Security",""
"INC0300150","Degraded Service",""
"INC0300149","Degraded Service",""
"INC0300148","Degraded Service",""
"INC0300147","Degraded Service",""
"INC0300146","Hardware issue",""
"INC0300145","Assistance",""
"INC0300144","Degraded Service",""
"INC0300143","Access rights",""
"INC0300142","Degraded Service",""
"INC0300141","Degraded Service",""
"INC0300140","BitLocker",""
"INC0300139","Hardware",""
"INC0300138","Assistance",""
"INC0300137","BitLocker",""
"INC0300136","Access rights",""
"INC0300135","Degraded Service",""
"INC0300134","Degraded Service",""
"INC0300133","Assistance",""
"INC0300132","Degraded Service",""
"INC0300131","Degraded Service",""
"INC0300130","Degraded Service",""
"INC0300128","Assistance",""
"INC0300127","Assistance",""
"INC0300126","BitLocker",""
"INC0300125","Hardware",""
"INC0300124","Degraded Service",""
"INC0300122","Degraded Service",""
"INC0300121","Degraded Service",""
"INC0300120","Assistance",""
"INC0300119","Assistance",""
"INC0300118","Hardware",""
"INC0300117","Assistance",""
"INC0300116","Degraded Service",""
"INC0300115","Assistance",""
"INC0300114","Assistance",""
"INC0300113","Hardware issue",""
"INC0300112","Assistance",""
"INC0300111","BitLocker",""
"INC0300110","",""
"INC0300109","Hardware",""
"INC0300108","Degraded Service",""
"INC0300107","Password loss or expired",""
"INC0300106","Degraded Service",""
"INC0300105","Assistance",""
"INC0300104","Degraded Service",""
"INC0300103","Degraded Service",""
"INC0300102","Hardware",""
"INC0300101","Degraded Service",""
"INC0300100","Degraded Service",""
"INC0300099","Degraded Service",""
"INC0300098","Degraded Service",""
"INC0300097","Degraded Service",""
"INC0300096","Degraded Service",""
"INC0300095","Degraded Service",""
"INC0300094","Degraded Service",""
"INC0300093","Degraded Service",""
"INC0300092","Degraded Service",""
"INC0300091","Degraded Service",""
"INC0300090","Degraded Service",""
"INC0300089","Assistance",""
"INC0300088","Degraded Service",""
"INC0300087","Degraded Service",""
"INC0300086","Degraded Service",""
"INC0300085","Degraded Service",""
"INC0300084","Degraded Service",""
"INC0300083","Degraded Service",""
"INC0300082","Degraded Service",""
"INC0300081","Assistance",""
"INC0300080","BitLocker",""
"INC0300079","Degraded Service",""
"INC0300078","Account Locked","Other"
"INC0300077","Assistance",""
"INC0300076","Degraded Service",""
"INC0300075","Degraded Service",""
"INC0300074","Degraded Service",""
"INC0300072","Information",""
"INC0300071","Degraded Service",""
"INC0300070","Account Locked",""
"INC0300069","Hardware",""
