"sys_id","name","city","state","country","latitude","longitude","parent"
"e29c98861cb2be10edc2cc259ede5f86","ASACO ALMOUSTRAT HQ","Almoustarat","Gao","Mali","","",""
"589516b158fa3e1048ee8840d9932704","ASACO Bambaramaoude HQ","Bambara maoudé","Tombouctou","Mali","","",""
"14351afd58ba3e1048ee8840d9932715","ASACO BER HQ","Ber","Tombouctou","Mali","","",""
"9fe5123558fa3e1048ee8840d993271e","ASACO BOUJBEHA HQ","Boujbeha","Taoudenni","Mali","","",""
"73806ab6487ef21074147f6083fe1066","ASACO CSCOM Bamba HQ","Bamba","Gao","Mali | Mali","","",""
"19416328613ab2105df69f7ec280dd72","ASACO D'AI OURCHE HQ","Al ourche","Taoudenni","Mali | Mali","","",""
"505eb8021cb6be10edc2cc259ede5f86","ASACO de Amasrakad HQ","Tilemsi","Gao","Mali","","",""
"3f65d67158fa3e1048ee8840d99327f4","ASACO DE LERE HQ","Léré","Tombouctou","Mali","","",""
"9b9267e8613ab2105df69f7ec280ddc6","ASACO DE NIBKIT HQ","NIBKIT","Taoudenni","Mali | Mali","","",""
"d9a38caf6967be1474141fba7a07b765","ASACO DE RAZELMA HQ","Razelma","","Mali | Mali","","",""
"e9a4c4a369a7be1474141fba7a07b744","ASACO DE TINTADENIT HQ","Tintadenit","","Mali | Mali","","",""
"db86819a1cf67250edc2cc259ede5fc0","ASACO DE WABARIA HQ","Wabaria","Gao","Mali","","",""
"1c85da7158fa3e1048ee8840d99327a6","ASACO DIANKE HQ","Dianké","Tombouctou","Mali","","",""
"0f07011e1cf67250edc2cc259ede5fcb","ASACO ERSANE HQ","Ersane","Gao","Mali","","",""
"c9a5d6b158fa3e1048ee8840d99327ad","ASACO INADIATAFANE HQ","Inadiatafane","Tombouctou","Mali","","",""
"c43cd3b6c8faf21048ee22fe5982af77","ASACO KOKRY HQ","Kokry","","Mali | Mali","","",""
"fbbb4c5a1cba3250edc2cc259ede5faf","ASACO TABANKORT -GAO HQ","Almoustarat","Gao","Mali","","",""
"133ef4021cb6be10edc2cc259ede5fdf","ASACO TARKINT HQ","Gao","Mali","Mali","","",""
"64b661921c3e7250edc2cc259ede5f5a","ASACO TESSALIT HQ","Tessalit","Kidal","mali","","",""
"85d59af158fa3e1048ee8840d99327dc","ASACO ZOUEYA HQ","Zouelya","Taoudenni","Mali","","",""
"6060f093ec5fc510078a8ddfae39e0c9","Asadabad","","","","34.874982","71.152908","Jalalabad"
"ec60f093ec5fc510078a8ddfae39e0c9","Asela","","","","","","Éthiopie"
"ad43c533bc1f9a10732854114e7c4398","Ashdod","","","","0","0","Jerusalem"
"d063bfd598ea3214f7c46c690dfb7c31","Ashekri Primary Healthcare Center HQ","Damaturu","Yobe","Nigeria | Nigéria","","",""
"6060f093ec5fc510078a8ddfae39e0cb","Ashgabat","","","","37.947655","58.376549","Tachkent"
"ee70fc93ec5fc510078a8ddfae39e018","Asia and the Pacific region","","","","","",""
"2460f093ec5fc510078a8ddfae39e0cc","Asmara","","","","15.310696","38.928076","Asmara"
"e060f093ec5fc510078a8ddfae39e0cd","Asosa","","","","","","Éthiopie"
"6060f093ec5fc510078a8ddfae39e0ce","Assab","","","","","","Érythrée"
"4a8bdc33645d721048eed032f5a555f8","Associated Rehabilitation Center for the Handicapped HQ","Buea","Sud-West","Cameroon | Cameroun","","",""
